,ME_module_3,ME_module_6,ME_module_5,ME_module_2,ME_module_1,ME_module_4
GSM5213626,0.28398571590114213,15.982796475181976,0.8061942742351323,4.256001213924759,0.0687094494613116,-1.3424222013025395
GSM5213632,-1.4124865824328896,-40.54830033278558,4.60361962095504,-3.116196560149462,4.669560590854247,-1.6437633490536692
GSM5213625,1.0876033802519223,19.701361900130227,1.0504038714226362,-0.908439932158116,1.731554044354105,-1.4792449033744979
GSM5213628,-1.0388805452450938,7.736240259548431,0.31505908022048706,3.1292072638777886,-0.6790922590135678,-0.6312078968438429
GSM5213629,-2.36676768468519,27.93821443945798,0.9485768850305094,-0.29414582431155745,-0.1319264366534103,5.062877318104803
GSM5213633,4.38558709407956,26.114247698888583,-1.6314815980879038,-0.8910722880423179,-3.9133949163257795,-0.9410450850522404
GSM5213627,-2.434878104447857,4.009798092201913,-3.7823145618516696,-1.8305361597592906,-0.3332794098038039,1.6304878035855992
GSM5213634,3.400321901638987,13.25780734793495,-2.3894654746656014,-2.139026359037013,2.937351427517537,-0.16060799510868579
GSM5213623,2.610433766358223,-37.74227034269305,0.5257374832927122,2.9050592352021467,0.3374554901771192,0.9722937916049125
GSM5213624,-3.244725069827931,-24.768647134049356,3.237489106632167,0.13384823555651879,-2.0443181465134086,-0.4135159924345512
GSM5213630,-1.0770937392483995,30.533654838492012,-0.05992752312403656,-0.22875395017932101,1.0679280859941063,-1.5149251519993936
GSM5213631,-0.1931001323424708,-42.21490324230812,-3.6238911640594607,-1.0159448749241409,-3.710547920048463,0.46107366187410564
