Gene,Module,Log2FC,Adj_PValue,Regulation
VWA5B1,module_6,3.6831323521401766,0.0005701483676906316,Up
MSR1,module_6,3.2440369393654334,0.04464052129972044,Up
ABCG2,module_6,1.8108517211782456,0.018006246384195655,Up
CNTN4,module_6,-1.0349529735397918,0.04301289935881772,Down
CHN2,module_6,1.64469713739165,0.000262474887863931,Up
RXRG,module_6,4.855940563754681,0.0036802315835174153,Up
COL16A1,module_6,1.6050313706346255,0.027228190072814754,Up
HS3ST4,module_6,3.3249312622114044,0.02774654427257587,Up
CABCOCO1,module_6,2.5090974421376595,0.02072526092630305,Up
ADAMTS12,module_6,3.003129368095206,0.001322277797694049,Up
GASK1B,module_6,3.2198453614391767,0.00036349053596489297,Up
MAFB,module_6,2.853162723730894,0.02038784832881133,Up
MAOA,module_6,1.6517259931781947,0.0001572648802898124,Up
GIPC2,module_6,-2.233193599188173,6.174990859305573e-05,Down
NDRG2,module_6,1.287218663733264,0.04945271810838185,Up
HGF,module_6,3.821950834754727,0.013358039473088335,Up
ETNK2,module_6,1.6476495151478117,0.031703908115472294,Up
TOX,module_6,3.4607587556388224,0.00025047196512118544,Up
MBNL3,module_6,2.1671488819854936,0.00046939336175045123,Up
MAN1A1,module_6,2.5027429591658255,0.002122130225414922,Up
GRB14,module_6,1.7639570242191691,0.03820125426213466,Up
ASCL1,module_6,3.62704363176701,0.0005701483676906316,Up
SEZ6,module_6,-1.3095734140306918,0.04492747653709313,Down
TNS3,module_6,1.7981730022988536,0.018788753960473623,Up
HBB,module_6,-4.86651115419899,0.010584150058471015,Down
KCNJ8,module_6,5.993474615438727,7.978123352080635e-08,Up
APOBEC4,module_6,4.829506265412543,0.04634562074960986,Up
TNIK,module_6,1.699786766891512,0.017033086869306158,Up
FCGR2B,module_6,3.542770484789491,0.026293124641416834,Up
PRSS23,module_6,1.4040431077878168,0.00953134132787942,Up
CLEC5A,module_6,6.047858849439344,0.004836785924173798,Up
GJA1,module_6,1.7935624265508143,0.005815320579483231,Up
PARP4,module_6,1.7768897725945993,0.03247655672440468,Up
ITGAX,module_6,3.391017640798516,0.04203010595431559,Up
GPC6,module_6,1.3553160137268006,0.0018992566437340175,Up
SLC18A1,module_6,2.828933737293855,6.2049692861714865e-06,Up
AARD,module_6,-1.1411878098585915,0.0492235385510745,Down
TBL1X,module_6,1.0924374230707612,0.027219816111847168,Up
VCAN,module_6,1.202587997607311,0.040579107634518254,Up
RASSF9,module_6,4.538378792110131,0.033730406658129174,Up
CLIC6,module_6,5.400571655058776,0.0009182498867068786,Up
RAB13,module_6,1.9789460841723778,0.0028980315538891604,Up
ISG15,module_6,1.3108097427518626,0.04686289295038326,Up
SNAPC1,module_6,1.0011549175962333,0.003041850045452285,Up
FCGR2A,module_6,2.9332851118707453,0.01088160127331304,Up
SPARCL1,module_6,1.5901058639630934,0.012959530647436388,Up
ZNF503,module_6,-1.1443351096923782,0.028646117826977104,Down
GSTT2,module_6,3.8951997450487323,0.008431369706366926,Up
SPHKAP,module_6,3.5964779145831542,0.01723578189385989,Up
TACR3,module_6,2.3652982842742034,0.009925169528582519,Up
ASPRV1,module_6,2.193662398404442,0.04634562074960986,Up
FXYD1,module_6,1.496265878193952,0.04945271810838185,Up
AKR1C3,module_6,1.7954506367081575,0.010231883652754752,Up
GADD45G,module_6,1.4443721193050763,0.03159775141000433,Up
WNT3,module_6,-1.1272781171811015,2.155998291313475e-05,Down
FGF14,module_6,1.6098305106607356,0.004244262867854211,Up
CACNA1G,module_6,-1.0259483509391687,0.005815320579483231,Down
NPB,module_6,1.7415993773679705,0.0004181956947589185,Up
KCNAB1,module_6,1.2598931429259286,7.806620763386138e-11,Up
BAG3,module_6,2.4784572455377636,0.015662610137706964,Up
ADGRE5,module_6,2.4049113473695862,0.010078140519138044,Up
SLC35F2,module_6,2.7272556803842676,0.020232697936799885,Up
IFI6,module_6,1.9763135644732706,0.0007147777802046152,Up
CRYM,module_6,4.239668006355321,7.894611151736285e-12,Up
HGH1,module_6,-1.5926481726420687,0.009037235975950594,Down
TMEM200A,module_6,3.7236025869057663,9.350266008828916e-10,Up
FST,module_6,-3.1845400048419394,0.0033351408591468183,Down
MAD1L1,module_6,1.0411580627232078,0.03266728638653144,Up
CD99,module_6,2.0961654712169953,4.10102256336274e-05,Up
CYP4V2,module_6,1.1786694557681676,0.012213387912149763,Up
MAOB,module_6,2.001881351504455,1.2958704149113763e-06,Up
GRAMD2B,module_6,1.5888106070375916,0.023570663381030796,Up
NEUROD6,module_6,6.598671751059141,0.0007168044340106293,Up
TAX1BP3,module_6,1.7144653065026196,0.039454591070565134,Up
SCN1A,module_6,1.4948068115885127,0.023375534800338462,Up
BTG3,module_6,3.5775878840088446,1.4745061818959607e-09,Up
IRF8,module_6,4.792530066418071,0.03769542807367494,Up
SERPINH1,module_6,4.392323884867191,0.017471013308660206,Up
CD33,module_6,5.876788661109982,0.022313312009168994,Up
RGS16,module_6,-1.6322676818112092,1.676406330619807e-05,Down
ELOVL3,module_6,1.2641267136515928,0.039129702757824125,Up
NPTX2,module_6,1.5436807162884867,0.04036985654270366,Up
EHF,module_6,5.000190562537752,4.487752212690243e-07,Up
COL8A1,module_6,4.218668815841967,0.0016065378686500045,Up
TRPS1,module_6,1.5237032790172085,0.0135835097015556,Up
UNC5C,module_6,-1.1437621385742098,0.003095302525050768,Down
ATP2A3,module_6,-1.1062859646357701,0.038644749904922684,Down
CST3,module_6,1.820022277025083,8.078435882938678e-07,Up
N4BP2L1,module_6,1.4967621356994294,0.002546047412945289,Up
STAMBPL1,module_6,1.4001442996984081,0.04186603870424809,Up
ACER2,module_6,-1.3868065417239879,0.04614032721941002,Down
PLXNC1,module_6,2.7405302916828607,3.577476062040733e-06,Up
UNC5D,module_6,2.868085730551949,0.0004023606997122889,Up
PARP10,module_6,4.250850123742697,0.002593559576306888,Up
THAP2,module_6,1.4470805128556339,0.012368465612325878,Up
HSPA1A,module_6,4.247023826871231,0.0036802315835174153,Up
HLA-DRB1,module_6,2.865377746270748,0.005547652520652314,Up
TRPM3,module_6,2.5681195369519414,6.535335525404145e-10,Up
CDON,module_6,1.107830488462017,0.004531613579370471,Up
TPPP3,module_6,1.176234238462632,0.0036129094463450075,Up
RUNX1T1,module_6,1.140826103625171,0.0024578051231402584,Up
C8orf88,module_6,1.8067822467178574,0.013950619537531682,Up
TTYH1,module_6,1.4343614103634987,0.019435353161622912,Up
ECRG4,module_6,2.172213735051519,0.022142510118513772,Up
ADRA1A,module_6,3.2947717345074734,0.0001572648802898124,Up
COL7A1,module_6,1.2548707355562623,0.02041968038694627,Up
TBC1D1,module_6,1.8297905127341854,0.020666041513086642,Up
BAALC,module_6,1.0710925542379603,0.012213387912149763,Up
GUCY1A1,module_6,1.6434166969671218,0.0006149324434596662,Up
LHFPL6,module_6,1.8715152158774722,0.00016485610399728906,Up
CCDC152,module_6,1.732345895629369,0.0005875084198580639,Up
HTR1F,module_6,-2.3270292217389517,6.787605803752333e-05,Down
TNC,module_6,2.197390900148757,0.0026642068140902636,Up
RGN,module_6,1.649076270582852,0.04464052129972044,Up
IL34,module_6,-1.4300242239425907,0.026917087238204945,Down
SERPINE2,module_6,1.3976958574685692,2.1726367259096207e-05,Up
MDK,module_6,2.7306977812260267,4.0235150617119887e-07,Up
C16orf89,module_6,3.8654401866591157,0.021222188742732736,Up
TMEM216,module_6,1.4463473500589599,0.03824180444293948,Up
TMEM91,module_6,1.141260146051617,0.0030439492064793143,Up
HHATL,module_6,2.3725588178138577,6.574591090637406e-06,Up
CA12,module_6,2.6555273664748773,4.7109696219623056e-07,Up
ANKFN1,module_6,2.3220523488024107,0.021751316410388917,Up
PNMT,module_6,2.9761169733674304,0.00016181223736119458,Up
CD44,module_6,2.5583709916255564,0.0013541617901197793,Up
EFHB,module_6,2.2113878819186334,0.043817080813044876,Up
ANTXR2,module_6,2.5723360687461194,2.781395005994914e-05,Up
PPP1R1B,module_6,1.565695664452098,0.0075614442825517915,Up
DYNC2I2,module_6,1.0665535159330897,0.04203010595431559,Up
SEMA7A,module_6,-1.223299475580282,0.032850592366170196,Down
ZNRF3,module_6,1.7991181625360462,0.03788841317408119,Up
ZSCAN22,module_6,2.205505632494043,0.03901672495564467,Up
NCF2,module_6,3.272540450418796,0.021222188742732736,Up
DLL1,module_6,1.6470462221251565,0.013120228709315614,Up
MAB21L4,module_6,5.518637060362255,0.033793390515601256,Up
PRIMA1,module_6,1.1918279979862922,0.04868003552748596,Up
BRINP3,module_6,2.929151926710672,0.002086305881318802,Up
SLC1A2,module_6,1.568524631742552,3.058057783810755e-06,Up
NKAIN4,module_6,1.8542521851665341,0.0008757979676174284,Up
CYP2J2,module_6,2.4867812431645833,0.028467575995385557,Up
B2M,module_6,1.5899692427818344,0.00185947485349749,Up
SLCO1A2,module_6,2.6092722031055775,0.0006149324434596662,Up
EPB41L2,module_6,1.617014735138113,0.0018075137060304361,Up
CPNE2,module_6,1.3799197150642741,0.04645791381149782,Up
MARCKSL1,module_6,1.141539079699802,0.03423374801355049,Up
FER1L5,module_6,3.414805474455924,0.006725529982978896,Up
ENOSF1,module_6,1.7090573188415066,0.003031512924272335,Up
PRKCD,module_6,-1.1448984839504541,0.02004559106183591,Down
PRELP,module_6,2.781238138468583,0.03820125426213466,Up
CXCL2,module_6,-4.584042360615927,0.00038010236226602615,Down
NRP2,module_6,2.021944414044472,0.0037647588958153195,Up
SELENOP,module_6,1.8068647443319341,0.005698724516738252,Up
TRIL,module_6,1.2465069605015568,0.014045104010579365,Up
KIAA0586,module_6,-1.0246917130403845,0.002086305881318802,Down
PRKG2,module_6,2.0362072635456374,0.02774654427257587,Up
ESAM,module_6,2.3343718676577514,0.03871997434168414,Up
SSTR1,module_6,-1.9204829882796626,1.574100716045358e-07,Down
RBP4,module_6,2.474824313152057,0.0009288989780153458,Up
SLC29A3,module_6,1.7833958384869746,0.005253846928615774,Up
CADM1,module_6,1.358104563441121,0.000262474887863931,Up
FAM53C,module_6,-1.0157835220011786,0.03824180444293948,Down
DNAJB1,module_6,1.2927292776527401,0.021531130932926013,Up
TMEM132D,module_6,2.6424776976739257,0.03391579052905941,Up
