Gene,Module,Log2FC,Adj_PValue,Regulation,N_CoExpressed_Genes,Mean_TOM_Score,Max_TOM_Score,Module_Membership
COL8A1,module_6,4.218668815841967,0.0016065378686500045,Up,18,0.10783009324401364,0.12950192710050165,-0.2018808592849193
STAMBPL1,module_6,1.4001442996984081,0.04186603870424809,Up,17,0.12426559285236989,0.15911342312751597,-0.2645450274155882
PRSS23,module_6,1.4040431077878168,0.00953134132787942,Up,17,0.11890513804195144,0.14322735296294697,-0.45110294425804426
CSRP2,module_6,1.5628298681051969,0.03831133303353059,Up,17,0.11838434749721521,0.1536718846289079,-0.42608412948248187
APOE,module_6,1.5593764259718121,0.004978283170585944,Up,17,0.11484921521376398,0.14208243360228023,-0.26632272910750376
POC1B,module_6,1.5830025084623922,0.0010974549370599447,Up,17,0.11052441089189556,0.1305317567626452,-0.09550598711942299
CARMIL1,module_6,2.5846481937535652,0.014296047686445348,Up,16,0.1230152638424949,0.1540841692452209,-0.6091841767381824
GSTT2,module_6,3.8951997450487323,0.008431369706366926,Up,16,0.11540994073075879,0.14437746748143288,0.31001456071076805
RASGRF1,module_6,-1.2956446991094448,0.00039564151051515046,Down,16,0.11465359077067028,0.13400205381265792,-0.06590645150868221
QTRT2,module_6,1.0523297668851694,0.011661033441990173,Up,16,0.11422669791931712,0.1519963535895282,0.09073110656533707
MPST,module_6,1.1830082401252204,0.03852903045264993,Up,15,0.11568385455831004,0.1351280729222033,0.13214903566756211
CACNA2D3,module_6,1.6588717132971262,8.722953119939398e-05,Up,15,0.11477277198657829,0.14528031182432363,-0.009698403322417032
COL16A1,module_6,1.6050313706346255,0.027228190072814754,Up,15,0.1124984366256285,0.12837305469908467,-0.40682515757246224
NPTX2,module_6,1.5436807162884867,0.04036985654270366,Up,15,0.11196841069898647,0.12086062065761698,-0.34192736146141867
CADM1,module_6,1.358104563441121,0.000262474887863931,Up,15,0.10928373320409375,0.12809650599296823,0.1629287411977448
CPVL,module_6,3.706482233252004,0.0003543004672921468,Up,14,0.117903608706617,0.14824775352133698,-0.13680731023379028
TBL1X,module_6,1.0924374230707612,0.027219816111847168,Up,14,0.11782394782182833,0.1369766866515584,-0.2487307554869369
RBP4,module_6,2.474824313152057,0.0009288989780153458,Up,14,0.1169662119712845,0.1387995640075051,0.3084609338800814
COL21A1,module_6,2.4133910629389947,0.0002821734121886809,Up,14,0.11653558230846991,0.15770881825410468,-0.07775510003315056
FANCL,module_6,1.1061632885411083,0.004889640643181145,Up,14,0.11488926792539225,0.15475989304718143,0.22544633662103808
ECRG4,module_6,2.172213735051519,0.022142510118513772,Up,14,0.1132995422275307,0.1557373034415129,-0.09822178764703754
KCTD12,module_6,1.4854512287671022,0.014195392459178734,Up,14,0.1107034094308019,0.13546917915701454,-0.14768374837156353
CLEC7A,module_6,2.8777870274725164,0.03423374801355049,Up,14,0.11060601669185179,0.12832681616165909,-0.10851863547816318
PSMB8,module_6,1.8473918403219547,0.030884074668526322,Up,14,0.1105523981248272,0.12648044959999105,-0.3808629913554108
PDE5A,module_6,1.9044260674800133,0.00011895700468834949,Up,14,0.1104360063465756,0.12461419807566637,-0.1302170475423789
GPC6,module_6,1.3553160137268006,0.0018992566437340175,Up,14,0.11035629639441123,0.12023818626566277,0.07891281076114474
SPON1,module_6,1.8977127607002662,0.025178315464299043,Up,14,0.10911677266329897,0.1280820635873042,-0.17006269989839645
NFE2L3,module_6,2.529954015043301,0.006765418260086795,Up,13,0.12393043749480648,0.14284386453259262,-0.4271836544835485
PTCHD1,module_6,1.8816250069543228,0.0003637209337901726,Up,13,0.12088928114187582,0.1617703136037257,0.2147512552926741
ZNF804A,module_6,-1.3701886178725324,0.0036129094463450075,Down,13,0.11735568216600784,0.16826951570763723,-0.2790086608911877
PROM1,module_6,4.024794535845623,0.017121254733936556,Up,13,0.11670653382250744,0.14375807402141674,-0.22293957870618908
CCNJL,module_6,-2.5561012567306287,0.002625894666838649,Down,13,0.11639498220848067,0.13345958709897243,-0.034961281500055015
TRIP4,module_6,1.092131467407515,0.016735740017237506,Up,13,0.11587859119889735,0.14153621929500143,0.08173318460356137
GIPR,module_6,2.760228897399032,0.005488661754245929,Up,13,0.11510302211722477,0.1386991665769952,0.04455764437808005
FST,module_6,-3.1845400048419394,0.0033351408591468183,Down,13,0.11474447787146816,0.1257780062895724,0.511597856647294
SERTM2,module_6,5.20591808098423,0.021125484797917246,Up,13,0.11470128807072558,0.14080789665970372,-0.29557300877418763
EVI2A,module_6,1.0926063702956865,0.04021130653601644,Up,13,0.11274508142823168,0.1384479344313212,-0.3200607520440545
IFI6,module_6,1.9763135644732706,0.0007147777802046152,Up,13,0.11082239654615567,0.1252446100705842,0.12328311019324828
TNC,module_6,2.197390900148757,0.0026642068140902636,Up,13,0.10931526384046121,0.1238729761419178,-0.15591423923908454
PRELP,module_6,2.781238138468583,0.03820125426213466,Up,13,0.10918298030764584,0.12292942202432894,-0.3013058556699286
HEBP1,module_6,1.4799814791484605,0.001360487719477979,Up,13,0.10872837431657369,0.12077632782234285,0.14398904592481251
CABCOCO1,module_6,2.5090974421376595,0.02072526092630305,Up,12,0.12076065150121357,0.14622946529479947,0.4263165475368897
SEMA7A,module_6,-1.223299475580282,0.032850592366170196,Down,12,0.11641483561248168,0.15391420358785382,-0.3027278465338526
RBM4B,module_6,1.3330535747088466,0.006540588164749512,Up,12,0.11567493982003861,0.15413401813683533,0.23692845778858715
NNAT,module_6,2.5883808440069265,0.010449931154704068,Up,12,0.11553634479203996,0.13094761812550737,0.3135511760250214
DUOX1,module_6,3.175627432006646,0.005488192920941895,Up,12,0.11512367917995597,0.13488047635777772,-0.38318100028732627
CYP2J2,module_6,2.4867812431645833,0.028467575995385557,Up,12,0.11443320339928921,0.1470172537961676,-0.33527756177543444
TNIK,module_6,1.699786766891512,0.017033086869306158,Up,12,0.11403307061641299,0.13430857925947304,-0.37371865124937226
FSTL5,module_6,1.856172538120566,0.006791681372394078,Up,12,0.11260825514616953,0.1374652378999567,0.23657196220318943
ASPRV1,module_6,2.193662398404442,0.04634562074960986,Up,12,0.11062180399701944,0.1238919805350912,-0.454070295798958
SLC26A11,module_6,1.041309471067005,0.02210482200468431,Up,12,0.10959510647339314,0.12190602048383992,-0.2739371813460913
FAM153A,module_6,1.520162096810225,0.026567319839874787,Up,11,0.1311039981937036,0.19099591579920686,0.4186563772175036
OSGIN1,module_6,-2.7306146939416993,0.033637716222503916,Down,11,0.12465233531802963,0.19129072755266296,-0.3918801447516835
TPPP3,module_6,1.176234238462632,0.0036129094463450075,Up,11,0.12151058242438043,0.17640956060199228,0.44504006552702163
SLC25A10,module_6,-1.5703469847882103,0.0004181956947589185,Down,11,0.12095711392235545,0.17053252118544074,-0.30832628288670527
TMEM132D,module_6,2.6424776976739257,0.03391579052905941,Up,11,0.11546403172337973,0.13013368948966259,-0.3329714754797327
PCDHB6,module_6,-3.2459076478956397,0.0068160514266317135,Down,11,0.11540398691423147,0.14746288143860506,-0.21093231911082314
TBC1D1,module_6,1.8297905127341854,0.020666041513086642,Up,11,0.11280568691541447,0.13741839144040224,-9.944447147525182e-06
TAFA2,module_6,-1.0608182658400573,0.00028885088984529803,Down,11,0.11248678226871754,0.1300828223152477,-0.020383299737259553
HTR1F,module_6,-2.3270292217389517,6.787605803752333e-05,Down,11,0.11227526374993896,0.12287506298664631,0.1853984673529143
BRINP3,module_6,2.929151926710672,0.002086305881318802,Up,11,0.10845726511570901,0.13122807311093543,-0.04163109861125478
ELOVL3,module_6,1.2641267136515928,0.039129702757824125,Up,10,0.12416354605498399,0.18531210081183933,0.39147568658606413
TRPC3,module_6,2.402501536691555,0.00636709596268232,Up,10,0.11689125792799678,0.13018022952615468,0.16201312183519484
NCF2,module_6,3.272540450418796,0.021222188742732736,Up,10,0.11485425201684427,0.1465393928671718,0.003013033526227421
KCNMB2,module_6,3.1098187085144056,0.003910126735503255,Up,10,0.11426699579791308,0.14167736397658054,0.12120962678338458
MYADML2,module_6,-1.4093418437765788,0.018494172269032584,Down,9,0.13060662619945268,0.17985989933867524,-0.2681449671848379
ACER2,module_6,-1.3868065417239879,0.04614032721941002,Down,9,0.12354591578552641,0.18427526386067594,-0.3614048594250172
RASSF9,module_6,4.538378792110131,0.033730406658129174,Up,9,0.11829687745557924,0.1368719236793324,-0.05724224387137956
MVP,module_6,1.645296469372835,0.026917087238204945,Up,9,0.11625563701137515,0.14033119592597396,-0.363973143761399
NECAB1,module_6,1.4457317867947268,0.0069949478274618955,Up,9,0.11602188579000147,0.14774092382189297,-0.05826601895040179
FKBP11,module_6,1.5275566349242269,0.002079197946908835,Up,9,0.11504144099154552,0.13243261198364656,-0.09956798942461495
LHFPL6,module_6,1.8715152158774722,0.00016485610399728906,Up,9,0.11304375343363213,0.13491399125538558,0.02251620886297502
MAB21L4,module_6,5.518637060362255,0.033793390515601256,Up,9,0.11170802180197431,0.14254302630954743,-0.2386888533953341
PYGL,module_6,-1.5430494763405407,0.020232697936799885,Down,9,0.11167654719528512,0.1348513014526894,0.5950698285613751
PRKCD,module_6,-1.1448984839504541,0.02004559106183591,Down,9,0.11044060591195473,0.12624882436962626,-0.16745952190721708
ANXA2,module_6,1.9286313140085547,0.00047015569570036005,Up,9,0.10861387940604761,0.12066731684835161,0.21161512519380687
ZNF503,module_6,-1.1443351096923782,0.028646117826977104,Down,8,0.1383397333661736,0.20766399359838636,-0.4526796442199806
AKR1C1,module_6,1.223524174714669,0.021531130932926013,Up,8,0.12891218013071692,0.18258791008550843,0.48261600748995304
CHN2,module_6,1.64469713739165,0.000262474887863931,Up,8,0.12335746856098193,0.1431853218524083,0.21571147748980424
MAD1L1,module_6,1.0411580627232078,0.03266728638653144,Up,8,0.12187751994970407,0.1747860490873374,0.4619094687432304
SELPLG,module_6,2.835588379046354,0.029063711978063678,Up,8,0.11669405957850143,0.14545658072987971,0.25217803812815576
TSPAN19,module_6,1.7008344806053697,0.035002696471420396,Up,8,0.11574220016984371,0.12769463369083042,0.230272228959688
NREP,module_6,-1.174708178477217,0.03659000507876875,Down,8,0.11558720994533488,0.14476432337942002,0.4009807599697669
CPAMD8,module_6,1.5448762906096662,0.022267671285376975,Up,8,0.11449300922897421,0.13638179209787432,-0.020119672365011807
SYNPO,module_6,-1.3206000164911826,4.638634162452658e-05,Down,8,0.1129062509095979,0.12992996915313526,-0.15417876421870563
CDON,module_6,1.107830488462017,0.004531613579370471,Up,8,0.11190949810856535,0.134477101899136,-0.026579107192051865
ZCCHC12,module_6,1.0471763236028842,0.013801025146975756,Up,8,0.11058831363193823,0.12476693734000611,-0.19627379716965718
PXDNL,module_6,2.692776564586603,0.011071248264338354,Up,8,0.10905368488642209,0.12534819833679392,-0.2618511233896248
THBD,module_6,1.9387053903699725,0.011071248264338354,Up,8,0.1072040701238035,0.11806970353726372,-0.0527745495165041
GTSF1,module_6,6.071242532125713,0.007778439219026654,Up,8,0.1060787986088546,0.11074417019969277,-0.11334931279589923
FXYD6-FXYD2,module_6,1.6863305858332638,0.04741244573417628,Up,7,0.1288401012459013,0.16906107545099852,0.4210524328126833
SPHKAP,module_6,3.5964779145831542,0.01723578189385989,Up,7,0.11973637260516812,0.1348832223330768,-0.3484172756041128
RAMP2,module_6,1.474061483505073,0.00624410267216802,Up,7,0.11288028523792601,0.13052046930827627,0.17751275227393637
ADAMTS12,module_6,3.003129368095206,0.001322277797694049,Up,7,0.11104852465399404,0.12194914130013466,0.039955787489829295
BAALC,module_6,1.0710925542379603,0.012213387912149763,Up,7,0.11057616006319913,0.12623879835890436,-0.2557664581620224
ASCL1,module_6,3.62704363176701,0.0005701483676906316,Up,7,0.10878364969612565,0.12155102557813376,-0.03595994161260545
TMEM91,module_6,1.141260146051617,0.0030439492064793143,Up,7,0.10848851888008357,0.11895278784918972,0.28940311179675665
HGF,module_6,3.821950834754727,0.013358039473088335,Up,7,0.10734689161275567,0.11131771605808895,-0.1817841520697035
ISG15,module_6,1.3108097427518626,0.04686289295038326,Up,7,0.10644506969382383,0.11827364690395857,0.02815733942709735
YES1,module_6,1.3513284616370127,0.04746228510655592,Up,7,0.1053467848752745,0.1125651456437796,-0.37416299397734093
JAK3,module_6,-1.2173594601973883,0.04322784359604493,Down,6,0.14424091586343904,0.18314941078291933,-0.3974753330066203
NECTIN1,module_6,-1.5427049114002143,0.011939684990056433,Down,6,0.14044183951988257,0.20504894476973887,-0.5041281529089918
NPB,module_6,1.7415993773679705,0.0004181956947589185,Up,6,0.12284382188988974,0.13876378381104185,0.07754813547545777
AKR1C2,module_6,1.110007771473845,0.013171928056102983,Up,6,0.11909311587722382,0.1451892291718007,0.38401330954028057
ROM1,module_6,2.2972974475795884,0.015417220889001337,Up,6,0.11858447064632749,0.13704170416908326,-0.45049196478044085
SST,module_6,10.08866179305415,1.8292410574905811e-06,Up,6,0.11562360169477152,0.13046860051821105,0.24124195034837273
TOX,module_6,3.4607587556388224,0.00025047196512118544,Up,6,0.11304879946974912,0.122221153728455,-0.18028098065002088
GRB14,module_6,1.7639570242191691,0.03820125426213466,Up,6,0.11243052868445343,0.1275030163926257,-0.405875902661328
TPD52L1,module_6,1.6227050948419346,0.04776314057915419,Up,6,0.11236881855579185,0.1304405619261946,0.022964084995887174
MARCO,module_6,3.129907806071148,0.015195211710341466,Up,6,0.11039388974608409,0.12200692821658188,0.1505394940911095
CTNNA3,module_6,2.6367859798813646,0.0036645241834288235,Up,6,0.11010500973088073,0.12365579931894528,-0.298767983174001
NEUROD6,module_6,6.598671751059141,0.0007168044340106293,Up,6,0.10852311908319186,0.11935158788199986,0.16367521988654204
DNHD1,module_6,1.8574854120522228,0.005815320579483231,Up,6,0.1084950643693781,0.1215614498103311,0.0014794273640484634
ADGRA3,module_6,1.8003272707768208,0.003679914591344129,Up,6,0.1071800858326744,0.11541488148963,0.23200865855268987
RASGRF2,module_6,-1.5366997966408746,0.005593097229524588,Down,6,0.10623392053594978,0.11289667837052102,-0.002531774868629419
ADGRE5,module_6,2.4049113473695862,0.010078140519138044,Up,6,0.10457373292909349,0.11118694986523857,-0.23504272909917195
HBA1,module_6,-4.765566744364664,0.0033225188075078744,Down,5,0.12434429850430198,0.1543930444606235,-0.238183271392713
HBA2,module_6,-4.726878610295954,0.0034093309329419003,Down,5,0.12430764171550004,0.15430581486354303,-0.2371595172547873
HS3ST3B1,module_6,3.411829511687373,0.03281392988391065,Up,5,0.1155663444637264,0.12462564505294607,-0.24041554368376536
RGS5,module_6,2.1275656428547514,0.00016485610399728906,Up,5,0.11329518786996581,0.12919464158418437,-0.11474788933016483
CD6,module_6,-1.3492455939089794,0.01163812335275719,Down,5,0.11062697597602175,0.11619163548297866,-0.06280230221839048
HAVCR2,module_6,2.3128647311880792,0.02837938733891976,Up,5,0.11050811484759546,0.12447694447702017,0.09969207459231916
GPNMB,module_6,2.4379705025551,0.0006058654580154366,Up,5,0.10980796063585893,0.12829327699571483,-0.40389767355106887
VAMP3,module_6,1.127436350391139,0.015673668127691102,Up,5,0.10978279336296615,0.1165487150115534,-0.08728624029178278
ZSCAN22,module_6,2.205505632494043,0.03901672495564467,Up,5,0.10938968975818342,0.11798235247195081,0.20796859627780784
F2R,module_6,2.458989129935585,0.006112984912588684,Up,5,0.10800026176219175,0.11269835251355265,-0.02824314208645983
TAX1BP3,module_6,1.7144653065026196,0.039454591070565134,Up,5,0.10543241680148266,0.1095919485202269,0.24790901841579843
CXCL2,module_6,-4.584042360615927,0.00038010236226602615,Down,4,0.12305130147064636,0.13897284043097433,-0.30279488798895954
CA2,module_6,1.0804795447451605,0.01019940645524703,Up,4,0.1220834986830258,0.13536641732995938,0.030831871993057453
SCML4,module_6,3.344643185944772,0.03247655672440468,Up,4,0.11533015107659327,0.13503892065793027,-0.3254278597096652
VAV1,module_6,3.019549419865586,0.007697412236106639,Up,4,0.11485273348059263,0.12300674973657559,0.2050110215052117
C22orf42,module_6,2.428861810909539,0.022267671285376975,Up,4,0.1131165027455949,0.12275466545936754,0.4094237443921984
CCL4,module_6,6.789882769940729,0.033637716222503916,Up,4,0.11233658017764245,0.13541525673995544,-0.2667780306585622
GADD45G,module_6,1.4443721193050763,0.03159775141000433,Up,4,0.11224574568521345,0.12236215269063061,0.007533229499096433
EXOC1L,module_6,-5.453948893785161,0.00251501956983309,Down,4,0.10899505540192925,0.1211446514959124,0.3334460512472503
HBD,module_6,-5.667522402315691,0.024361716205124645,Down,4,0.10874354419510567,0.11473154819058938,-0.2232521318238552
CHIT1,module_6,7.129067049695683,4.794170849673406e-05,Up,4,0.10854890046254206,0.11618816447047786,-0.02481852144538739
NINJ1,module_6,1.175862716861853,0.04703678040066985,Up,4,0.10814275521747571,0.11522483768376286,-0.12890976837975765
ADPRHL1,module_6,1.7725506662733406,0.01232506892446246,Up,4,0.1080888484862703,0.11289047171857208,0.24748867067240723
C1QTNF4,module_6,2.633394888736305,0.011809848648402486,Up,4,0.10789033626030714,0.11228871886524033,0.06782641951420608
TMEM125,module_6,1.6321622722492253,0.024528347413687347,Up,4,0.104008714259408,0.10910950507247816,-0.11532755746087597
MFAP4,module_6,2.3719995354464296,0.0222048787854228,Up,3,0.12022927854556657,0.1368719236793324,-0.006398012593438777
HGH1,module_6,-1.5926481726420687,0.009037235975950594,Down,3,0.1174239380257537,0.12166437417194831,-0.01316463614107255
KCNK6,module_6,2.714417704051017,0.04791391823754372,Up,3,0.11689380991232518,0.12818252767905863,0.024039123425119546
DYNC2I2,module_6,1.0665535159330897,0.04203010595431559,Up,3,0.11593989482753632,0.1180826453601515,0.09889280290451147
HBB,module_6,-4.86651115419899,0.010584150058471015,Down,3,0.114697215722852,0.12228507960446355,-0.15565968728997076
LRRCC1,module_6,1.110197608684115,0.04188377905774704,Up,3,0.11133487551580273,0.12389195482846155,-0.10183474352258781
CPNE2,module_6,1.3799197150642741,0.04645791381149782,Up,3,0.11093581053741326,0.11816063323135204,0.19681614869484687
BMP3,module_6,3.6838343783503533,0.003650403873837464,Up,3,0.10803293305979077,0.11962465260223075,-0.2274176429826909
RUBCNL,module_6,3.700561636242476,0.005705742721680878,Up,3,0.10796396413216634,0.11370672000617191,-0.13643123563939596
TEX15,module_6,1.2855620411715472,0.0033225188075078744,Up,3,0.1078689152239478,0.10835177514737614,-0.03047974080954543
PARP4,module_6,1.7768897725945993,0.03247655672440468,Up,3,0.10476780724697325,0.1082400138566147,0.06392837490538669
EGFL6,module_6,5.206393329926466,0.027418653732670727,Up,3,0.10398489912490066,0.10848903186893291,0.006683513022748876
SLC35F2,module_6,2.7272556803842676,0.020232697936799885,Up,3,0.10316734530385722,0.10490303675788198,-0.16971981039796555
AKR1C3,module_6,1.7954506367081575,0.010231883652754752,Up,3,0.10284165264601759,0.10481397117628026,-0.005745889635166007
PTER,module_6,4.408810770468095,0.004579324302377895,Up,3,0.10140294171299213,0.10261123515574792,-0.29037536105241035
S100A10,module_6,1.5542270955020743,0.012213387912149763,Up,2,0.11115580831731839,0.11442165064479505,0.14538292964629615
NRGN,module_6,2.1324680046521425,0.03788841317408119,Up,2,0.11082275769128674,0.11366837062856994,-0.23281267750862397
GUCY1A1,module_6,1.6434166969671218,0.0006149324434596662,Up,2,0.11036502089744676,0.11293691897461514,-0.08281759326591182
ST8SIA4,module_6,1.9248194357390567,0.032850592366170196,Up,2,0.10869022899098378,0.11213459183174564,-0.15296459001340204
PKD2L1,module_6,5.371760689927509,0.006540588164749512,Up,2,0.10632744727812254,0.10642571030328643,-0.02391226529498007
VCAN,module_6,1.202587997607311,0.040579107634518254,Up,2,0.10406801755601246,0.10686865854290549,-0.38384339059765943
GLIPR1L2,module_6,2.6398459189149643,0.04464052129972044,Up,2,0.10384895703611494,0.10490364152877127,-0.2849037859785669
PXMP2,module_6,1.0763373794721565,0.003041850045452285,Up,2,0.10304995376348894,0.10358356177711922,-0.10509047990003981
CXCL14,module_6,2.8624240278876765,0.02004559106183591,Up,2,0.10197231437369288,0.10330778189642226,-0.13587593840449508
NPBWR1,module_6,7.824359663845283,7.687009980833444e-05,Up,2,0.10109121465960622,0.10128280140443643,0.09312737462776319
AARD,module_6,-1.1411878098585915,0.0492235385510745,Down,2,0.10036700476531354,0.1005170489509231,0.04372110646870893
BTBD17,module_6,3.5073686971642357,0.03247655672440468,Up,1,0.1300828223152477,0.1300828223152477,0.033441827412129005
EFHB,module_6,2.2113878819186334,0.043817080813044876,Up,1,0.11627403914925448,0.11627403914925448,0.11151660444285724
QSER1,module_6,1.2140334221311768,0.02774654427257587,Up,1,0.11620811059145657,0.11620811059145657,0.05090002749874195
MUSTN1,module_6,2.7831347216644975,0.021405289139170558,Up,1,0.11612229042602515,0.11612229042602515,0.1172508137162081
FCGR2B,module_6,3.542770484789491,0.026293124641416834,Up,1,0.11599250515391758,0.11599250515391758,-0.2904561223893087
CDH20,module_6,2.346903622621186,0.027116803637310113,Up,1,0.10779245317493223,0.10779245317493223,0.07877020246809602
ANKFN1,module_6,2.3220523488024107,0.021751316410388917,Up,1,0.10666938310073473,0.10666938310073473,-0.3008717922539309
SGCZ,module_6,-2.1030130672688494,0.02294238191351649,Down,1,0.10455054028585498,0.10455054028585498,0.11112339223284148
TDO2,module_6,-4.621495177257365,0.011071248264338354,Down,1,0.10300474183583375,0.10300474183583375,0.046950263717850466
SHC4,module_6,1.789031844027128,0.002625894666838649,Up,1,0.1028977370202233,0.1028977370202233,-0.11267270487066502
DLL1,module_6,1.6470462221251565,0.013120228709315614,Up,1,0.10144434165110791,0.10144434165110791,-0.22182116582649983
GREM2,module_6,1.6636474364930023,0.012213387912149763,Up,1,0.100899627914776,0.100899627914776,0.041999069405123636
COL7A1,module_6,1.2548707355562623,0.02041968038694627,Up,1,0.10087978770456951,0.10087978770456951,0.0002919410360596106
TMEM216,module_6,1.4463473500589599,0.03824180444293948,Up,1,0.10011983183712106,0.10011983183712106,0.10595938109904522
RSAD2,module_6,1.964109949030699,0.023728637455757103,Up,0,0.0,0.08524988067548485,0.17309189150053061
SUSD2,module_6,5.887359685504137,0.009324957567575143,Up,0,0.0,0.09195526820804728,-0.2004618920699382
PPP1R17,module_6,3.950274208428525,0.009324957567575143,Up,0,0.0,0.09798549243207587,0.14057440176703817
MMP11,module_6,-3.452237482620438,0.030884074668526322,Down,0,0.0,0.06440353366337409,-0.2396371382818516
PLBD1,module_6,3.267302706360028,0.006765418260086795,Up,0,0.0,0.09741940165028076,-0.06911082666096396
SLC4A2,module_6,-1.8452481044872309,0.02315420232183282,Down,0,0.0,0.09360927319456394,-0.07469429889312607
UNC13D,module_6,4.173686825833291,0.04464052129972044,Up,0,0.0,0.08198877886455534,-0.0798860427913862
RGCC,module_6,1.5106449219869065,0.020865536037846272,Up,0,0.0,0.08961658535584133,-0.004662914765969028
C1QL1,module_6,2.4441668535673124,0.02774654427257587,Up,0,0.0,0.09021838541868853,0.490929242929257
ERLIN1,module_6,1.31525035321859,0.039074485268376216,Up,0,0.0,0.08909152569689288,-0.041422206423426325
CDK15,module_6,2.665929787590089,0.049983079926135036,Up,0,0.0,0.07103838845336358,-0.11594722311600138
MGAT4C,module_6,1.204019296876503,0.023623731708953474,Up,0,0.0,0.08920643137400722,-0.18382679982447947
CALCR,module_6,7.60682562127395,5.1183188828278305e-05,Up,0,0.0,0.08347946477180322,0.28306221862549014
PTGER3,module_6,2.596162998840699,0.009461692846328387,Up,0,0.0,0.09964194264344423,-0.15740193083441523
HS3ST4,module_6,3.3249312622114044,0.02774654427257587,Up,0,0.0,0.0790010202655031,0.5228822085591405
TACR3,module_6,2.3652982842742034,0.009925169528582519,Up,0,0.0,0.09930327261812796,-0.1362054390443141
RGN,module_6,1.649076270582852,0.04464052129972044,Up,0,0.0,0.09237503061282903,-0.15644137334771094
C16orf89,module_6,3.8654401866591157,0.021222188742732736,Up,0,0.0,0.09348440864869641,-0.2652869779044895
ESAM,module_6,2.3343718676577514,0.03871997434168414,Up,0,0.0,0.07390976810106517,-0.0521959028406567
