Gene,Module
ZNF263,module_6
LRPPRC,module_6
FRY,module_6
CDH15,module_2
PDIA6,module_6
TRAP1,module_6
OPTN,module_6
BCAP31,module_6
NAMPT,module_6
RBM12,module_6
ARFRP1,module_6
TOB1,module_6
CLEC3A,module_6
FAM13A,module_6
EBI3,module_2
ADGRG2,module_6
CDH17,module_6
CEBPZ,module_6
PLXNC1,module_6
TRIM28,module_6
RASA4,module_6
AASS,module_6
ATP6AP2,module_6
CDH18,module_6
LPAR6,module_6
WASF2,module_6
SLC25A13,module_6
SLC25A15,module_6
BLACAT1,module_6
SERF2,module_6
DHRS9,module_6
RCL1,module_6
ZNF256,module_6
SPECC1L-ADORA2A,module_6
SORBS3,module_6
CNIH1,module_6
TENM1,module_6
RBM7,module_6
RBM6,module_6
RBM5,module_6
LHFPL2,module_6
LHFPL6,module_6
TNK2,module_6
ALYREF,module_6
TXNDC9,module_6
HSFX4,module_6
PIGBOS1,module_6
MEI4,module_6
CCDC92B,module_6
CFAP97D2,module_6
TSHZ1,module_6
ALG3,module_6
PRMT3,module_6
PSME3,module_6
MPHOSPH9,module_6
MPHOSPH10,module_6
ADAM10,module_6
CDK5,module_6
MPHOSPH6,module_6
NME6,module_6
DHRS2,module_6
CALCRL,module_6
MPZL2,module_6
TRIM13,module_6
PATJ,module_6
USPL1,module_6
CDK6,module_6
TOPORS,module_6
DDX39A,module_6
PSMD14,module_6
OLIG2,module_6
AK6,module_6
CTDSPL,module_6
ANGPTL7,module_6
KLRG1,module_6
CDK7,module_6
TRIB1,module_6
ZNF443,module_6
CD96,module_6
PLIN3,module_6
MFSD10,module_1
STX6,module_6
C11orf98,module_6
COQ7,module_6
MSLN,module_6
LRRC23,module_6
LRRC17,module_6
RASGRP2,module_6
HNRNPR,module_6
SLC35B1,module_6
DCAF7,module_6
AP3S2,module_6
CDK8,module_6
MRPS31,module_6
CALCOCO2,module_6
KCNMB2,module_6
RABEPK,module_6
TIMM17B,module_6
RIDA,module_6
POP7,module_6
CDK9,module_6
SRRM1,module_6
SPRY3,module_6
SPRY1,module_6
SPRY2,module_6
CNKSR1,module_6
